Case,Timestamp,original_activity,Activity_fixed,label
8229064,2013-09-09 07:00:31,calculate provisional charges,calculate provisional charges,
8229064,2013-09-09 07:00:32,completed subcases content,treat subcases content,
8229064,2013-09-09 07:00:33,coordination of application,coordination of application,
8229064,2013-09-09 07:00:34,create procedure confirmation,enter senddate procedure confirmation,
8229064,2013-09-09 07:00:35,create subcases completeness,treat subcases content,
8229064,2013-09-09 07:00:36,creating cover letter decision,creating cover letter decision,
8229064,2013-09-09 07:00:37,creating environmental permit decision,enter senddate decision environmental permit,
8229064,2013-09-09 07:00:38,decision date prior to decision,decision date prior to decision,
8229064,2013-09-09 07:00:39,enter senddate decision,enter senddate decision,
8229064,2013-09-09 07:00:40,enter senddate decision environmental permit,enter senddate decision environmental permit,
8229064,2013-09-09 07:00:41,generating decision environmental permit,enter senddate decision environmental permit,
8229064,2013-09-09 07:00:42,grounds for refusal,grounds for refusal,
8229064,2013-09-09 07:00:43,inform BAG administrator,inform BAG administrator,
8229064,2013-09-09 07:00:44,no permit needed or only notification needed,no permit needed or only notification needed,
8229064,2013-09-09 07:00:45,phase advice known,phase advice known,
8229064,2013-09-09 07:00:46,phase application receptive,phase application received,
8229064,2013-09-09 07:00:47,phase decision sent,phase decision sent,
8229064,2013-09-09 07:00:48,phase decision taken,phase decision sent,
8229064,2013-09-09 07:00:49,procedure change,procedure change,
8229064,2013-09-09 07:00:50,procedure change,procedure change,
8229064,2013-09-09 07:00:51,register objection and appeal periods,register objection and appeal periods,
8229064,2013-09-09 07:00:52,request complete,request complete,
8229064,2013-09-09 07:00:53,send letter in progress,send letter in progress,
8229064,2013-09-09 07:00:54,set decision status,set decision status,
8229064,2013-09-09 07:00:55,start WABOprocedure,start WABOprocedure,
8229064,2013-09-09 07:00:56,subcases completeness completed,treat subcases content,
8229064,2013-09-09 07:00:57,suspension ground applicable,suspension ground applicable,
8229064,2013-09-09 07:00:58,terminate on request,terminate on request,
8229064,2013-09-09 07:00:59,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
8229064,2013-09-09 07:01:00,treat subcases completeness,treat subcases content,
8229064,2013-09-09 07:01:01,treat subcases content,treat subcases content,
8229064,2013-09-10 07:00:36,enter senddate decision environmental permit,enter senddate decision environmental permit,
8229064,2013-09-10 07:00:37,register date environmental permit decision,enter senddate decision environmental permit,
8229064,2013-09-10 07:00:38,set decision phase decision permitting decided,phase decision sent,
8229064,2013-09-10 07:00:39,start decision phase decision permitting sent,phase decision sent,
8261955,2013-09-06 07:00:14,register submission date request,register submission date request,
8261955,2013-09-12 07:00:08,OLO messaging active,OLO messaging active,
8261955,2013-09-12 07:00:09,create procedure confirmation,enter senddate procedure confirmation,
8261955,2013-09-12 07:00:10,forward to the competent authority,forward to the competent authority,
8261955,2013-09-12 07:00:11,phase application received,phase application received,
8261955,2013-09-12 07:00:12,registration date publication,registration date publication,
8261955,2013-09-12 07:00:13,regular procedure without MER,regular procedure without MER,
8261955,2013-09-12 07:00:14,send confirmation receipt,send confirmation receipt,
8261955,2013-09-12 07:00:15,send confirmation receipt,send confirmation receipt,
8261955,2013-09-12 07:00:16,start WABOprocedure,start WABOprocedure,
8261955,2013-10-11 07:00:15,create letter requesting missing data,create letter requesting missing data,
8261955,2013-10-11 07:00:16,create publication document,create publication document,
8261955,2013-10-11 07:00:17,create subcases completeness,treat subcases content,
8261955,2013-10-11 07:00:18,phase asked additional information,receive additional information,
8261955,2013-10-11 07:00:19,procedure change,procedure change,
8261955,2013-10-11 07:00:20,request complete,request complete,
8261955,2013-10-11 07:00:21,retrieve missing data,retrieve missing data,
8261955,2013-10-11 07:00:22,term for supplying missing data,term for supplying missing data,
8261955,2013-10-17 07:00:14,enter receipt of additional data,enter receipt of additional data,
8261955,2013-10-17 07:00:15,phase additional information received,receive additional information,
8261955,2013-10-17 07:00:16,receive additional information,receive additional information,
8261955,2013-10-17 07:00:17,send confirmation receipt additional data,send confirmation receipt,
8261955,2013-10-22 07:00:29,MER present in supplement,MER present in supplement,
8261955,2013-10-22 07:00:30,article 34  WABO applies,article 34  WABO applies,
8261955,2013-10-22 07:00:31,ask stakeholders views,ask stakeholders views,
8261955,2013-10-22 07:00:32,assessment of content completed,assessment of content completed,
8261955,2013-10-22 07:00:33,by law,by law,
8261955,2013-10-22 07:00:34,completed subcases content,treat subcases content,
8261955,2013-10-22 07:00:35,coordination of application,coordination of application,
8261955,2013-10-22 07:00:36,creating environmental permit decision,enter senddate decision environmental permit,
8261955,2013-10-22 07:00:37,decision date prior to decision,decision date prior to decision,
8261955,2013-10-22 07:00:38,grounds for refusal,grounds for refusal,
8261955,2013-10-22 07:00:39,phase advice known,phase advice known,
8261955,2013-10-22 07:00:40,phase application receptive,phase application received,
8261955,2013-10-22 07:00:41,procedure change,procedure change,
8261955,2013-10-22 07:00:42,procedure change after completeness,procedure change after completeness,
8261955,2013-10-22 07:00:43,request complete,request complete,
8261955,2013-10-22 07:00:44,send letter in progress,send letter in progress,
8261955,2013-10-22 07:00:45,set decision status,set decision status,
8261955,2013-10-22 07:00:46,suspension ground applicable,suspension ground applicable,
8261955,2013-10-22 07:00:47,treat subcases content,treat subcases content,
8261955,2013-11-01 08:00:16,creating cover letter decision,creating cover letter decision,
8261955,2013-11-01 08:00:17,enter senddate decision,enter senddate decision,
8261955,2013-11-01 08:00:18,enter senddate decision environmental permit,enter senddate decision environmental permit,
8261955,2013-11-01 08:00:19,generating decision environmental permit,enter senddate decision environmental permit,
8261955,2013-11-01 08:00:20,phase decision ready,phase decision sent,
8261955,2013-11-01 08:00:21,phase decision sent,phase decision sent,
8261955,2013-11-01 08:00:22,phase decision taken,phase decision sent,
8261955,2013-11-01 08:00:23,register objection and appeal periods,register objection and appeal periods,
8261955,2013-11-01 08:00:24,submit decision,submit decision,
8261955,2013-11-01 08:00:25,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
8261955,2013-11-04 08:00:23,enter senddate decision environmental permit,enter senddate decision environmental permit,
8261955,2013-11-04 08:00:24,record date of decision environmental permit,enter senddate decision environmental permit,
8261955,2013-11-04 08:00:25,set decision phase decision permitting decided,phase decision sent,
8261955,2013-11-04 08:00:26,start decision phase decision permitting sent,phase decision sent,
8271684,2013-09-09 07:01:12,register submission date request,register submission date request,
8271684,2013-09-13 07:01:20,OLO messaging active,OLO messaging active,
8271684,2013-09-13 07:01:21,create procedure confirmation,enter senddate procedure confirmation,
8271684,2013-09-13 07:01:22,create subcases completeness,treat subcases content,
8271684,2013-09-13 07:01:23,forward to the competent authority,forward to the competent authority,
8271684,2013-09-13 07:01:24,phase application received,phase application received,
8271684,2013-09-13 07:01:25,procedure change,procedure change,
8271684,2013-09-13 07:01:26,registration date publication,registration date publication,
8271684,2013-09-13 07:01:27,regular procedure without MER,regular procedure without MER,
8271684,2013-09-13 07:01:28,send confirmation receipt,send confirmation receipt,
8271684,2013-09-13 07:01:29,send confirmation receipt,send confirmation receipt,
8271684,2013-09-13 07:01:30,start WABOprocedure,start WABOprocedure,
8271684,2013-10-07 07:00:28,create message terminate request,message terminate request,
8271684,2013-10-07 07:00:29,initiative competent authority,initiative competent authority,
8271684,2013-10-07 07:00:30,phase procedure aborted,phase procedure aborted,
8271684,2013-10-07 07:00:31,phase procedure prematurely terminated,phase procedure prematurely terminated,
8271684,2013-10-07 07:00:32,read publication date field,read publication date field,
8271684,2013-10-07 07:00:33,terminate on request,terminate on request,
8273820,2013-09-09 07:01:13,register submission date request,register submission date request,
8273820,2013-09-13 07:01:31,OLO messaging active,OLO messaging active,
8273820,2013-09-13 07:01:32,create procedure confirmation,enter senddate procedure confirmation,
8273820,2013-09-13 07:01:33,create subcases completeness,treat subcases content,
8273820,2013-09-13 07:01:34,forward to the competent authority,forward to the competent authority,
8273820,2013-09-13 07:01:35,phase application received,phase application received,
8273820,2013-09-13 07:01:36,procedure change,procedure change,
8273820,2013-09-13 07:01:37,registration date publication,registration date publication,
8273820,2013-09-13 07:01:38,regular procedure without MER,regular procedure without MER,
8273820,2013-09-13 07:01:39,send confirmation receipt,send confirmation receipt,
8273820,2013-09-13 07:01:40,send confirmation receipt,send confirmation receipt,
8273820,2013-09-13 07:01:41,start WABOprocedure,start WABOprocedure,
8273820,2013-10-08 07:00:23,create letter requesting missing data,create letter requesting missing data,
8273820,2013-10-08 07:00:24,create publication document,create publication document,
8273820,2013-10-08 07:00:25,phase asked additional information,receive additional information,
8273820,2013-10-08 07:00:26,request complete,request complete,
8273820,2013-10-08 07:00:27,retrieve missing data,retrieve missing data,
8273820,2013-10-08 07:00:28,term for supplying missing data,term for supplying missing data,
8273820,2013-10-22 07:00:48,MER present in supplement,MER present in supplement,
8273820,2013-10-22 07:00:49,article 34  WABO applies,article 34  WABO applies,
8273820,2013-10-22 07:00:50,ask stakeholders views,ask stakeholders views,
8273820,2013-10-22 07:00:51,assessment of content completed,assessment of content completed,
8273820,2013-10-22 07:00:52,by law,by law,
8273820,2013-10-22 07:00:53,completed subcases content,treat subcases content,
8273820,2013-10-22 07:00:54,coordination of application,coordination of application,
8273820,2013-10-22 07:00:55,creating environmental permit decision,enter senddate decision environmental permit,
8273820,2013-10-22 07:00:56,decision date prior to decision,decision date prior to decision,
8273820,2013-10-22 07:00:57,enter receipt of additional data,enter receipt of additional data,
8273820,2013-10-22 07:00:58,grounds for refusal,grounds for refusal,
8273820,2013-10-22 07:00:59,phase additional information received,receive additional information,
8273820,2013-10-22 07:01:00,phase advice known,phase advice known,
8273820,2013-10-22 07:01:01,phase application receptive,phase application received,
8273820,2013-10-22 07:01:02,procedure change,procedure change,
8273820,2013-10-22 07:01:03,procedure change after completeness,procedure change after completeness,
8273820,2013-10-22 07:01:04,receive additional information,receive additional information,
8273820,2013-10-22 07:01:05,request complete,request complete,
8273820,2013-10-22 07:01:06,send confirmation receipt additional data,send confirmation receipt,
8273820,2013-10-22 07:01:07,send letter in progress,send letter in progress,
8273820,2013-10-22 07:01:08,set decision status,set decision status,
8273820,2013-10-22 07:01:09,suspension ground applicable,suspension ground applicable,
8273820,2013-10-22 07:01:10,treat subcases content,treat subcases content,
8273820,2013-11-01 08:00:26,creating cover letter decision,creating cover letter decision,
8273820,2013-11-01 08:00:27,enter senddate decision,enter senddate decision,
8273820,2013-11-01 08:00:28,enter senddate decision environmental permit,enter senddate decision environmental permit,
8273820,2013-11-01 08:00:29,generating decision environmental permit,enter senddate decision environmental permit,
8273820,2013-11-01 08:00:30,phase decision ready,phase decision sent,
8273820,2013-11-01 08:00:31,phase decision sent,phase decision sent,
8273820,2013-11-01 08:00:32,phase decision taken,phase decision sent,
8273820,2013-11-01 08:00:33,register objection and appeal periods,register objection and appeal periods,
8273820,2013-11-01 08:00:34,submit decision,submit decision,
8273820,2013-11-01 08:00:35,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
8273820,2013-11-04 08:00:27,record date of decision environmental permit,enter senddate decision environmental permit,
8273820,2013-11-04 08:00:28,set decision phase decision permitting decided,phase decision sent,
8273820,2013-11-05 08:00:04,enter senddate decision environmental permit,enter senddate decision environmental permit,
8273820,2013-11-05 08:00:05,start decision phase decision permitting sent,phase decision sent,
8275156,2013-09-11 07:00:01,register submission date request,register submission date request,
8275156,2013-09-16 07:00:23,OLO messaging active,OLO messaging active,
8275156,2013-09-16 07:00:24,create procedure confirmation,enter senddate procedure confirmation,
8275156,2013-09-16 07:00:25,create publication document,create publication document,
8275156,2013-09-16 07:00:26,forward to the competent authority,forward to the competent authority,
8275156,2013-09-16 07:00:27,phase application received,phase application received,
8275156,2013-09-16 07:00:28,registration date publication,registration date publication,
8275156,2013-09-16 07:00:29,regular procedure without MER,regular procedure without MER,
8275156,2013-09-16 07:00:30,send confirmation receipt,send confirmation receipt,
8275156,2013-09-16 07:00:31,send confirmation receipt,send confirmation receipt,
8275156,2013-09-16 07:00:32,start WABOprocedure,start WABOprocedure,
8275156,2013-10-14 07:00:38,create letter requesting missing data,create letter requesting missing data,
8275156,2013-10-14 07:00:39,create subcases completeness,treat subcases content,
8275156,2013-10-14 07:00:40,phase asked additional information,receive additional information,
8275156,2013-10-14 07:00:41,procedure change,procedure change,
8275156,2013-10-14 07:00:42,request complete,request complete,
8275156,2013-10-14 07:00:43,retrieve missing data,retrieve missing data,
8275156,2013-10-14 07:00:44,term for supplying missing data,term for supplying missing data,
8275156,2013-10-28 08:00:05,enter receipt of additional data,enter receipt of additional data,
8275156,2013-10-28 08:00:06,phase additional information received,receive additional information,
8275156,2013-10-28 08:00:07,receive additional information,receive additional information,
8275156,2013-10-28 08:00:08,send confirmation receipt additional data,send confirmation receipt,
8275156,2013-11-07 08:00:57,copy decision to extend procedure to stakeholders,copy decision to extend procedure to stakeholders,
8275156,2013-11-07 08:00:58,create cover letter extend procedure term,create cover letter extend procedure term,
8275156,2013-11-07 08:00:59,create decision procedure term extension,enter senddate decision procedure term extension,
8275156,2013-11-07 08:01:00,creating decision procedure term extension,enter senddate decision procedure term extension,
8275156,2013-11-07 08:01:01,decision date prior to decision,decision date prior to decision,
8275156,2013-11-07 08:01:02,enter senddate procedure term extension,enter senddate decision procedure term extension,
8275156,2013-11-07 08:01:03,enter senddate procedure term extension,enter senddate decision procedure term extension,
8275156,2013-11-07 08:01:04,extend procedure term,extend procedure term,
8275156,2013-11-07 08:01:05,phase procedure extended,phase procedure extended,
8275156,2013-11-07 08:01:06,register number of days extension period,register number of days extension period,
8275156,2013-11-07 08:01:07,set decision status,set decision status,
8275156,2013-11-07 08:01:08,start decision phase extension granted,start decision phase extension granted,
8275156,2013-11-07 08:01:09,start decision phase extension granted,start decision phase extension granted,
8275156,2013-12-13 08:00:01,article 34  WABO applies,article 34  WABO applies,
8275156,2013-12-13 08:00:02,ask stakeholders views,ask stakeholders views,
8275156,2013-12-13 08:00:03,assessment of content completed,assessment of content completed,
8275156,2013-12-13 08:00:04,by law,by law,
8275156,2013-12-13 08:00:05,completed subcases content,treat subcases content,
8275156,2013-12-13 08:00:06,coordination of application,coordination of application,
8275156,2013-12-13 08:00:07,creating environmental permit decision,enter senddate decision environmental permit,
8275156,2013-12-13 08:00:08,decision date prior to decision,decision date prior to decision,
8275156,2013-12-13 08:00:09,generating decision environmental permit,enter senddate decision environmental permit,
8275156,2013-12-13 08:00:10,grounds for refusal,grounds for refusal,
8275156,2013-12-13 08:00:11,phase advice known,phase advice known,
8275156,2013-12-13 08:00:12,phase application receptive,phase application received,
8275156,2013-12-13 08:00:13,phase decision ready,phase decision sent,
8275156,2013-12-13 08:00:14,procedure change,procedure change,
8275156,2013-12-13 08:00:15,procedure change after completeness,procedure change after completeness,
8275156,2013-12-13 08:00:16,request complete,request complete,
8275156,2013-12-13 08:00:17,send letter in progress,send letter in progress,
8275156,2013-12-13 08:00:18,set decision status,set decision status,
8275156,2013-12-13 08:00:19,submit decision,submit decision,
8275156,2013-12-13 08:00:20,suspension ground applicable,suspension ground applicable,
8275156,2013-12-13 08:00:21,treat subcases content,treat subcases content,
8275156,2013-12-17 08:00:36,creating cover letter decision,creating cover letter decision,
8275156,2013-12-17 08:00:37,enter senddate decision,enter senddate decision,
8275156,2013-12-17 08:00:38,enter senddate decision environmental permit,enter senddate decision environmental permit,
8275156,2013-12-17 08:00:39,phase decision sent,phase decision sent,
8275156,2013-12-17 08:00:40,phase decision taken,phase decision sent,
8275156,2013-12-17 08:00:41,record date of decision environmental permit,enter senddate decision environmental permit,
8275156,2013-12-17 08:00:42,register objection and appeal periods,register objection and appeal periods,
8275156,2013-12-17 08:00:43,set decision phase decision permitting decided,phase decision sent,
8275156,2013-12-17 08:00:44,start decision phase decision permitting sent,phase decision sent,
8275156,2013-12-17 08:00:45,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
8275156,2014-01-30 08:00:02,objection lodged against decision,objection lodged against decision,
8275156,2014-01-30 08:00:03,phase archived case,phase archived case,
8275156,2014-01-30 08:00:04,phase case handled,phase case handled,
8275156,2014-01-30 08:00:05,phase decision irrevocable,phase decision irrevocable,
8275156,2014-01-30 08:00:06,read publication date field,read publication date field,
8275156,2014-01-30 08:00:07,read publication date field,read publication date field,
8275156,2014-01-30 08:00:08,stop all running subcases 2b,stop all running subcases 2b,
8315576,2013-09-17 07:00:10,register submission date request,register submission date request,
8315576,2013-09-19 07:00:22,OLO messaging active,OLO messaging active,
8315576,2013-09-19 07:00:23,create procedure confirmation,enter senddate procedure confirmation,
8315576,2013-09-19 07:00:24,forward to the competent authority,forward to the competent authority,
8315576,2013-09-19 07:00:25,phase application received,phase application received,
8315576,2013-09-19 07:00:26,registration date publication,registration date publication,
8315576,2013-09-19 07:00:27,regular procedure without MER,regular procedure without MER,
8315576,2013-09-19 07:00:28,send confirmation receipt,send confirmation receipt,
8315576,2013-09-19 07:00:29,send confirmation receipt,send confirmation receipt,
8315576,2013-09-19 07:00:30,start WABOprocedure,start WABOprocedure,
8315576,2013-10-04 07:01:15,article 34  WABO applies,article 34  WABO applies,
8315576,2013-10-04 07:01:16,ask stakeholders views,ask stakeholders views,
8315576,2013-10-04 07:01:17,assessment of content completed,assessment of content completed,
8315576,2013-10-04 07:01:18,by law,by law,
8315576,2013-10-04 07:01:19,completed subcases content,treat subcases content,
8315576,2013-10-04 07:01:20,coordination of application,coordination of application,
8315576,2013-10-04 07:01:21,create subcases completeness,treat subcases content,
8315576,2013-10-04 07:01:22,creating cover letter decision,creating cover letter decision,
8315576,2013-10-04 07:01:23,creating environmental permit decision,enter senddate decision environmental permit,
8315576,2013-10-04 07:01:24,decision date prior to decision,decision date prior to decision,
8315576,2013-10-04 07:01:25,enter senddate decision,enter senddate decision,
8315576,2013-10-04 07:01:26,enter senddate decision environmental permit,enter senddate decision environmental permit,
8315576,2013-10-04 07:01:27,generating decision environmental permit,enter senddate decision environmental permit,
8315576,2013-10-04 07:01:28,grounds for refusal,grounds for refusal,
8315576,2013-10-04 07:01:29,phase advice known,phase advice known,
8315576,2013-10-04 07:01:30,phase application receptive,phase application received,
8315576,2013-10-04 07:01:31,phase decision sent,phase decision sent,
8315576,2013-10-04 07:01:32,phase decision taken,phase decision sent,
8315576,2013-10-04 07:01:33,procedure change,procedure change,
8315576,2013-10-04 07:01:34,procedure change,procedure change,
8315576,2013-10-04 07:01:35,register objection and appeal periods,register objection and appeal periods,
8315576,2013-10-04 07:01:36,request complete,request complete,
8315576,2013-10-04 07:01:37,send letter in progress,send letter in progress,
8315576,2013-10-04 07:01:38,set decision phase decision permitting decided,phase decision sent,
8315576,2013-10-04 07:01:39,set decision status,set decision status,
8315576,2013-10-04 07:01:40,suspension ground applicable,suspension ground applicable,
8315576,2013-10-04 07:01:41,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
8315576,2013-10-04 07:01:42,treat subcases content,treat subcases content,
8315576,2013-10-07 07:00:34,enter senddate decision environmental permit,enter senddate decision environmental permit,
8315576,2013-10-07 07:00:35,start decision phase decision permitting sent,phase decision sent,
8315841,2013-09-13 07:01:42,register submission date request,register submission date request,
8315841,2013-09-19 07:00:31,OLO messaging active,OLO messaging active,
8315841,2013-09-19 07:00:32,create procedure confirmation,enter senddate procedure confirmation,
8315841,2013-09-19 07:00:33,create publication document,create publication document,
8315841,2013-09-19 07:00:34,forward to the competent authority,forward to the competent authority,
8315841,2013-09-19 07:00:35,phase application received,phase application received,
8315841,2013-09-19 07:00:36,registration date publication,registration date publication,
8315841,2013-09-19 07:00:37,regular procedure without MER,regular procedure without MER,
8315841,2013-09-19 07:00:38,send confirmation receipt,send confirmation receipt,
8315841,2013-09-19 07:00:39,send confirmation receipt,send confirmation receipt,
8315841,2013-09-19 07:00:40,start WABOprocedure,start WABOprocedure,
8315841,2013-10-25 07:00:40,create letter requesting missing data,create letter requesting missing data,
8315841,2013-10-25 07:00:41,create subcases completeness,treat subcases content,
8315841,2013-10-25 07:00:42,phase asked additional information,receive additional information,
8315841,2013-10-25 07:00:43,procedure change,procedure change,
8315841,2013-10-25 07:00:44,request complete,request complete,
8315841,2013-10-25 07:00:45,retrieve missing data,retrieve missing data,
8315841,2013-10-25 07:00:46,term for supplying missing data,term for supplying missing data,
8315841,2013-10-28 08:00:10,enter senddate retrieve missing data,retrieve missing data,
8315841,2013-10-31 08:00:02,enter receipt of additional data,enter receipt of additional data,
8315841,2013-10-31 08:00:03,phase additional information received,receive additional information,
8315841,2013-10-31 08:00:04,receive additional information,receive additional information,
8315841,2013-10-31 08:00:05,send confirmation receipt additional data,send confirmation receipt,
8315841,2014-03-11 08:00:01,create cover letter extend procedure term,create cover letter extend procedure term,
8315841,2014-03-11 08:00:02,create decision procedure term extension,enter senddate decision procedure term extension,
8315841,2014-03-11 08:00:03,creating decision procedure term extension,enter senddate decision procedure term extension,
8315841,2014-03-11 08:00:04,decision date prior to decision,decision date prior to decision,
8315841,2014-03-11 08:00:05,enter senddate procedure term extension,enter senddate decision procedure term extension,
8315841,2014-03-11 08:00:06,extend procedure term,extend procedure term,
8315841,2014-03-11 08:00:07,phase procedure extended,phase procedure extended,
8315841,2014-03-11 08:00:08,register number of days extension period,register number of days extension period,
8315841,2014-03-11 08:00:09,set decision status,set decision status,
8315841,2014-03-11 08:00:10,start decision phase extension granted,start decision phase extension granted,
8315841,2014-03-11 08:00:11,start decision phase extension granted,start decision phase extension granted,
8315841,2014-04-30 07:00:01,article 34  WABO applies,article 34  WABO applies,
8315841,2014-04-30 07:00:02,ask stakeholders views,ask stakeholders views,
8315841,2014-04-30 07:00:03,assessment of content completed,assessment of content completed,
8315841,2014-04-30 07:00:04,by law,by law,
8315841,2014-04-30 07:00:05,completed subcases content,treat subcases content,
8315841,2014-04-30 07:00:06,coordination of application,coordination of application,
8315841,2014-04-30 07:00:07,creating cover letter decision,creating cover letter decision,
8315841,2014-04-30 07:00:08,creating environmental permit decision,enter senddate decision environmental permit,
8315841,2014-04-30 07:00:09,decision date prior to decision,decision date prior to decision,
8315841,2014-04-30 07:00:10,enter senddate decision,enter senddate decision,
8315841,2014-04-30 07:00:11,enter senddate decision environmental permit,enter senddate decision environmental permit,
8315841,2014-04-30 07:00:12,generating decision environmental permit,enter senddate decision environmental permit,
8315841,2014-04-30 07:00:13,grounds for refusal,grounds for refusal,
8315841,2014-04-30 07:00:14,phase advice known,phase advice known,
8315841,2014-04-30 07:00:15,phase application receptive,phase application received,
8315841,2014-04-30 07:00:16,phase decision ready,phase decision sent,
8315841,2014-04-30 07:00:17,phase decision sent,phase decision sent,
8315841,2014-04-30 07:00:18,phase decision taken,phase decision sent,
8315841,2014-04-30 07:00:19,procedure change,procedure change,
8315841,2014-04-30 07:00:20,procedure change after completeness,procedure change after completeness,
8315841,2014-04-30 07:00:21,record date of decision environmental permit,enter senddate decision environmental permit,
8315841,2014-04-30 07:00:22,register objection and appeal periods,register objection and appeal periods,
8315841,2014-04-30 07:00:23,request complete,request complete,
8315841,2014-04-30 07:00:24,send letter in progress,send letter in progress,
8315841,2014-04-30 07:00:25,set decision phase decision permitting decided,phase decision sent,
8315841,2014-04-30 07:00:26,set decision status,set decision status,
8315841,2014-04-30 07:00:27,start decision phase decision permitting sent,phase decision sent,
8315841,2014-04-30 07:00:28,submit decision,submit decision,
8315841,2014-04-30 07:00:29,suspension ground applicable,suspension ground applicable,
8315841,2014-04-30 07:00:30,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
8315841,2014-04-30 07:00:31,treat subcases content,treat subcases content,
8315841,2014-07-22 07:00:06,objection lodged against decision,objection lodged against decision,
8315841,2014-07-22 07:00:07,phase decision irrevocable,phase decision irrevocable,
8315841,2014-07-22 07:00:08,read publication date field,read publication date field,
8315841,2014-07-22 07:00:09,read publication date field,read publication date field,
8315841,2014-07-22 07:00:10,stop all running subcases 2b,stop all running subcases 2b,
8336219,2013-09-23 07:00:53,OLO messaging active,OLO messaging active,
8336219,2013-09-23 07:00:54,create procedure confirmation,enter senddate procedure confirmation,
8336219,2013-09-23 07:00:55,create publication document,create publication document,
8336219,2013-09-23 07:00:56,forward to the competent authority,forward to the competent authority,
8336219,2013-09-23 07:00:57,phase application received,phase application received,
8336219,2013-09-23 07:00:58,registration date publication,registration date publication,
8336219,2013-09-23 07:00:59,regular procedure without MER,regular procedure without MER,
8336219,2013-09-23 07:01:00,send confirmation receipt,send confirmation receipt,
8336219,2013-09-23 07:01:01,send confirmation receipt,send confirmation receipt,
8336219,2013-09-23 07:01:02,start WABOprocedure,start WABOprocedure,
8336219,2013-10-15 07:03:08,create subcases completeness,treat subcases content,
8336219,2013-10-15 07:03:09,procedure change,procedure change,
8336219,2013-10-18 07:00:10,create letter requesting missing data,create letter requesting missing data,
8336219,2013-10-18 07:00:11,phase asked additional information,receive additional information,
8336219,2013-10-18 07:00:12,request complete,request complete,
8336219,2013-10-18 07:00:13,retrieve missing data,retrieve missing data,
8336219,2013-10-18 07:00:14,term for supplying missing data,term for supplying missing data,
8336219,2013-10-24 07:00:01,phase additional information received,receive additional information,
8336219,2013-10-24 07:00:02,receive additional information,receive additional information,
8336219,2013-10-24 07:00:03,send confirmation receipt additional data,send confirmation receipt,
8336219,2013-11-13 08:00:01,article 34  WABO applies,article 34  WABO applies,
8336219,2013-11-13 08:00:02,ask stakeholders views,ask stakeholders views,
8336219,2013-11-13 08:00:03,assessment of content completed,assessment of content completed,
8336219,2013-11-13 08:00:04,by law,by law,
8336219,2013-11-13 08:00:05,completed subcases content,treat subcases content,
8336219,2013-11-13 08:00:06,coordination of application,coordination of application,
8336219,2013-11-13 08:00:07,creating environmental permit decision,enter senddate decision environmental permit,
8336219,2013-11-13 08:00:08,decision date prior to decision,decision date prior to decision,
8336219,2013-11-13 08:00:09,generating decision environmental permit,enter senddate decision environmental permit,
8336219,2013-11-13 08:00:10,grounds for refusal,grounds for refusal,
8336219,2013-11-13 08:00:11,phase advice known,phase advice known,
8336219,2013-11-13 08:00:12,phase application receptive,phase application received,
8336219,2013-11-13 08:00:13,phase decision ready,phase decision sent,
8336219,2013-11-13 08:00:14,procedure change,procedure change,
8336219,2013-11-13 08:00:15,procedure change after completeness,procedure change after completeness,
8336219,2013-11-13 08:00:16,request complete,request complete,
8336219,2013-11-13 08:00:17,send letter in progress,send letter in progress,
8336219,2013-11-13 08:00:18,set decision status,set decision status,
8336219,2013-11-13 08:00:19,submit decision,submit decision,
8336219,2013-11-13 08:00:20,suspension ground applicable,suspension ground applicable,
8336219,2013-11-13 08:00:21,treat subcases content,treat subcases content,
8336219,2013-11-18 08:00:19,creating cover letter decision,creating cover letter decision,
8336219,2013-11-18 08:00:20,enter senddate decision,enter senddate decision,
8336219,2013-11-18 08:00:21,enter senddate decision environmental permit,enter senddate decision environmental permit,
8336219,2013-11-18 08:00:22,phase decision sent,phase decision sent,
8336219,2013-11-18 08:00:23,phase decision taken,phase decision sent,
8336219,2013-11-18 08:00:24,record date of decision environmental permit,enter senddate decision environmental permit,
8336219,2013-11-18 08:00:25,register objection and appeal periods,register objection and appeal periods,
8336219,2013-11-18 08:00:26,set decision phase decision permitting decided,phase decision sent,
8336219,2013-11-18 08:00:27,start decision phase decision permitting sent,phase decision sent,
8336219,2013-11-18 08:00:28,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
8341537,2013-09-19 07:01:00,register submission date request,register submission date request,
8341537,2014-12-17 08:00:03,OLO messaging active,OLO messaging active,
8341537,2014-12-17 08:00:04,article 34  WABO applies,article 34  WABO applies,
8341537,2014-12-17 08:00:05,ask stakeholders views,ask stakeholders views,
8341537,2014-12-17 08:00:06,by law,by law,
8341537,2014-12-17 08:00:07,coordination of application,coordination of application,
8341537,2014-12-17 08:00:08,create procedure confirmation,enter senddate procedure confirmation,
8341537,2014-12-17 08:00:09,create subcases completeness,treat subcases content,
