forward to the competent authority -> phase application received (frequency = 361, performance = 1.00)
send confirmation receipt_20pksce_20150212 080127000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_22GcptL_20111223 173027000000 -> send procedure confirmation (frequency = 1, performance = 8.00)
send confirmation receipt_22KpbZi_20130122 201042000000 -> regular procedure without MER (frequency = 1, performance = 2.00)
send confirmation receipt_22lBJbo_20140313 080131000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_22lMULE_20120809 162641000000 -> regular procedure without MER (frequency = 1, performance = 4.00)
send confirmation receipt_23Dtpam_20120403 181030000000 -> send procedure confirmation (frequency = 1, performance = 7.00)
send confirmation receipt_23KXAym_20110818 163621000000 -> terminate on request (frequency = 1, performance = 1.00)
send confirmation receipt_23OaDNm_20150105 080009000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_23TfLGv_20120709 220701000000 -> regular procedure without MER (frequency = 1, performance = 433.00)
send confirmation receipt_23kBKYV_20110707 164751000000 -> send procedure confirmation (frequency = 1, performance = 254.00)
send confirmation receipt_23lQYCi_20130206 173746000000 -> regular procedure without MER (frequency = 1, performance = 8.00)
send confirmation receipt_23xFXZB_20121018 170906000000 -> send confirmation receipt_76lLdKC_20121018 171102000000 (frequency = 1, performance = 116.00)
send confirmation receipt_24YJkzb_20121015 185639000000 -> regular procedure without MER (frequency = 1, performance = 4.00)
send confirmation receipt_24uKflx_20140324 080027000000 -> send confirmation receipt_48JPRii_20140324 080028000000 (frequency = 1, performance = 1.00)
send confirmation receipt_24ucicS_20130516 070049000000 -> send confirmation receipt_66NPIEk_20130516 070050000000 (frequency = 1, performance = 1.00)
send confirmation receipt_24xiSbz_20131025 070103000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_25FxUfF_20130523 070219000000 -> send confirmation receipt_85sCEnT_20130523 070220000000 (frequency = 1, performance = 1.00)
send confirmation receipt_25GNZtI_20130718 070021000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_25gUKeU_20140616 070112000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_25oQiVs_20130523 070230000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_26IubSY_20120716 181431000000 -> regular procedure without MER (frequency = 1, performance = 3.00)
send confirmation receipt_26qLeFV_20110929 210245000000 -> send procedure confirmation (frequency = 1, performance = 1.00)
send confirmation receipt_26rtrgh_20150114 080032000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_27GFZDm_20131021 070031000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_27TQiXt_20120830 182732000000 -> regular procedure without MER (frequency = 1, performance = 243.00)
send confirmation receipt_27vNfcZ_20110818 205901000000 -> activities regular procedure (frequency = 1, performance = 1703.00)
send confirmation receipt_28LRyWG_20130228 195415000000 -> regular procedure without MER (frequency = 1, performance = 2.00)
send confirmation receipt_28gaPvv_20141120 080123000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_28sptFf_20130325 173146000000 -> start WABOprocedure (frequency = 1, performance = 11.00)
send confirmation receipt_28uxWUA_20141006 070018000000 -> send confirmation receipt_99EnFYe_20141006 070019000000 (frequency = 1, performance = 1.00)
send confirmation receipt_29TMNAe_20111018 192010000000 -> send procedure confirmation (frequency = 1, performance = 1.00)
send confirmation receipt_29eaTrV_20121011 161756000000 -> regular procedure without MER (frequency = 1, performance = 2.00)
send confirmation receipt_29hPBJH_20140227 080056000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_29mBYxh_20121203 205853000000 -> regular procedure without MER (frequency = 1, performance = 4.00)
send confirmation receipt_30DQLva_20120920 174829000000 -> regular procedure without MER (frequency = 1, performance = 5.00)
send confirmation receipt_30GLQEH_20140317 080044000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_30VKAkD_20120604 215357000000 -> read field phased application (frequency = 1, performance = 14240332.00)
send confirmation receipt_30gZVms_20120716 181110000000 -> send confirmation receipt_26IubSY_20120716 181431000000 (frequency = 1, performance = 201.00)
send confirmation receipt_30iVKDp_20121015 155823000000 -> regular procedure without MER (frequency = 1, performance = 3.00)
send confirmation receipt_31tHPbX_20140210 080017000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_31wVqWQ_20120329 220928000000 -> enter senddate acknowledgement (frequency = 1, performance = 31834.00)
send confirmation receipt_31yrIwU_20131021 070030000000 -> send confirmation receipt_27GFZDm_20131021 070031000000 (frequency = 1, performance = 1.00)
send confirmation receipt_32NFXSC_20110728 182049000000 -> send procedure confirmation (frequency = 1, performance = 1.00)
send confirmation receipt_32UxqSY_20130701 070209000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_32YgbON_20140904 070015000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_33aDFHE_20120607 162003000000 -> send confirmation receipt_10LfDaq_20120607 162021000000 (frequency = 1, performance = 18.00)
send confirmation receipt_33fdHvY_20130919 070039000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_33owoLB_20130807 070024000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_33ywcDS_20140602 070119000000 -> send confirmation receipt_10uipun_20140602 070120000000 (frequency = 1, performance = 1.00)
send confirmation receipt_34ABXxe_20141117 080030000000 -> send confirmation receipt_80cEcSR_20141117 080031000000 (frequency = 1, performance = 1.00)
send confirmation receipt_34JhGat_20150226 080125000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_34PdBqC_20120515 205147000000 -> send confirmation receipt_14cqFNw_20120515 205307000000 (frequency = 1, performance = 80.00)
send confirmation receipt_34PnpbF_20120521 213256000000 -> start WABOprocedure (frequency = 1, performance = 4.00)
send confirmation receipt_34UElUT_20130807 070023000000 -> send confirmation receipt_33owoLB_20130807 070024000000 (frequency = 1, performance = 1.00)
send confirmation receipt_34WdQby_20150114 080105000000 -> send confirmation receipt_77xtawV_20150114 080106000000 (frequency = 1, performance = 1.00)
send confirmation receipt_35RnelR_20140203 080031000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_35XbLZW_20140929 070112000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_35zpzTg_20111110 194458000000 -> send procedure confirmation (frequency = 1, performance = 12.00)
send confirmation receipt_36CTZcR_20150114 080031000000 -> send confirmation receipt_26rtrgh_20150114 080032000000 (frequency = 1, performance = 1.00)
send confirmation receipt_36DKxDr_20141006 070110000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_36ZpmoW_20111006 200719000000 -> send procedure confirmation (frequency = 1, performance = 25.00)
send confirmation receipt_36vKNTk_20140206 080022000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_37blgWo_20120503 191049000000 -> send confirmation receipt_09mLcKy_20120503 191312000000 (frequency = 1, performance = 143.00)
send confirmation receipt_38BMUuJ_20131205 080039000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_38Fabef_20120124 191853000000 -> send procedure confirmation (frequency = 1, performance = 30.00)
send confirmation receipt_38NcgUV_20110721 193401000000 -> send procedure confirmation (frequency = 1, performance = 50.00)
send confirmation receipt_38TpAFL_20141215 080040000000 -> send confirmation receipt_14kyTPM_20141215 080041000000 (frequency = 1, performance = 1.00)
send confirmation receipt_38VZwfX_20140210 080016000000 -> send confirmation receipt_31tHPbX_20140210 080017000000 (frequency = 1, performance = 1.00)
send confirmation receipt_38VgvdJ_20111115 201516000000 -> send procedure confirmation (frequency = 1, performance = 37.00)
send confirmation receipt_38bjMSa_20131030 080034000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_38ungRh_20110712 174948000000 -> send procedure confirmation (frequency = 1, performance = 13.00)
send confirmation receipt_39RcSIS_20131025 070102000000 -> send confirmation receipt_24xiSbz_20131025 070103000000 (frequency = 1, performance = 1.00)
send confirmation receipt_39uEwQf_20120521 155534000000 -> send confirmation receipt_63sOoQL_20120521 160124000000 (frequency = 1, performance = 350.00)
send confirmation receipt_40CtJaQ_20140403 070055000000 -> send confirmation receipt_90HdIqp_20140403 070056000000 (frequency = 1, performance = 1.00)
send confirmation receipt_40LfEzG_20121115 190425000000 -> start WABOprocedure (frequency = 1, performance = 4.00)
send confirmation receipt_40oaNma_20140929 070111000000 -> send confirmation receipt_35XbLZW_20140929 070112000000 (frequency = 1, performance = 1.00)
send confirmation receipt_40vUbvJ_20140908 070151000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_40wPlMJ_20130314 192211000000 -> regular procedure without MER (frequency = 1, performance = 2.00)
send confirmation receipt_41AnDdE_20120524 191858000000 -> regular procedure without MER (frequency = 1, performance = 6.00)
send confirmation receipt_41Tbgjq_20130926 070042000000 -> send confirmation receipt_47OdrlB_20130926 070043000000 (frequency = 1, performance = 1.00)
send confirmation receipt_41ZBDsv_20130613 070121000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_41dbrqP_20121213 204959000000 -> start WABOprocedure (frequency = 1, performance = 90835.00)
send confirmation receipt_41itKJG_20140317 080043000000 -> send confirmation receipt_30GLQEH_20140317 080044000000 (frequency = 1, performance = 1.00)
send confirmation receipt_42IoniN_20140331 070047000000 -> send confirmation receipt_85VdLLR_20140331 070048000000 (frequency = 1, performance = 1.00)
send confirmation receipt_42WkqTx_20141027 080034000000 -> send confirmation receipt_96PTQfL_20141027 080035000000 (frequency = 1, performance = 1.00)
send confirmation receipt_42XXDeS_20121011 153921000000 -> send confirmation receipt_87FzyOe_20121011 154123000000 (frequency = 1, performance = 122.00)
send confirmation receipt_42jBXpk_20130827 070035000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_42vauzd_20120209 180110000000 -> send procedure confirmation (frequency = 1, performance = 25.00)
send confirmation receipt_43VvSAc_20150226 080115000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_43dkWtR_20141124 080052000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_43nXQGE_20130207 232655000000 -> forward to the competent authority (frequency = 1, performance = 1.00)
send confirmation receipt_43rLyaJ_20140130 080055000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_43yvHwt_20130523 070210000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_44AZjtX_20140130 080054000000 -> send confirmation receipt_43rLyaJ_20140130 080055000000 (frequency = 1, performance = 1.00)
send confirmation receipt_44Abaxk_20120126 194448000000 -> enter senddate decision environmental permit_95wrjQZ_20120305 080007000000 (frequency = 1, performance = 3327319.00)
send confirmation receipt_44joRGT_20130207 232453000000 -> send confirmation receipt_43nXQGE_20130207 232655000000 (frequency = 1, performance = 122.00)
send confirmation receipt_45dwxLi_20140716 070023000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_45nOVSD_20130919 070038000000 -> send confirmation receipt_33fdHvY_20130919 070039000000 (frequency = 1, performance = 1.00)
send confirmation receipt_45oxXNu_20121122 211150000000 -> start WABOprocedure (frequency = 1, performance = 5.00)
send confirmation receipt_46MchHo_20140228 080138000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_46Mctqk_20111028 231521000000 -> send confirmation receipt_19weYbD_20111028 231522000000 (frequency = 1, performance = 1.00)
send confirmation receipt_46Nhxdk_20140408 070041000000 -> send confirmation receipt_07DSHbo_20140408 070042000000 (frequency = 1, performance = 1.00)
send confirmation receipt_46RxmZm_20131216 080054000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_46Yrait_20150130 080017000000 -> updated plan received (frequency = 1, performance = 1.00)
send confirmation receipt_46tdNXx_20130829 070037000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_47OdrlB_20130926 070043000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_47ZDrYI_20120403 180526000000 -> send confirmation receipt_23Dtpam_20120403 181030000000 (frequency = 1, performance = 304.00)
send confirmation receipt_47avDWB_20130827 070034000000 -> send confirmation receipt_42jBXpk_20130827 070035000000 (frequency = 1, performance = 1.00)
send confirmation receipt_47jOJAv_20130919 070058000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_48GIQUJ_20110811 193551000000 -> send procedure confirmation (frequency = 1, performance = 186.00)
send confirmation receipt_48JPRii_20140324 080028000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_48WNLmc_20140721 070105000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_48lCHIc_20140228 080116000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_48toJOK_20110912 214534000000 -> send procedure confirmation (frequency = 1, performance = 12.00)
send confirmation receipt_49SpIYy_20141218 080121000000 -> send confirmation receipt_52KdJVC_20141218 080122000000 (frequency = 1, performance = 1.00)
send confirmation receipt_49fLbSi_20120920 174825000000 -> send confirmation receipt_30DQLva_20120920 174829000000 (frequency = 1, performance = 4.00)
send confirmation receipt_49gHCLD_20140211 080030000000 -> send confirmation receipt_72oBhfM_20140211 080031000000 (frequency = 1, performance = 1.00)
send confirmation receipt_49gKpOi_20140716 070022000000 -> send confirmation receipt_45dwxLi_20140716 070023000000 (frequency = 1, performance = 1.00)
send confirmation receipt_49kiFpm_20141016 070109000000 -> send confirmation receipt_75YkYOC_20141016 070110000000 (frequency = 1, performance = 1.00)
send confirmation receipt_49mnYNP_20130128 224202000000 -> regular procedure without MER (frequency = 1, performance = 3.00)
send confirmation receipt_49yoRFq_20120521 213136000000 -> send confirmation receipt_34PnpbF_20120521 213256000000 (frequency = 1, performance = 80.00)
send confirmation receipt_50InDce_20120607 180452000000 -> read field phased application (frequency = 1, performance = 24885560.00)
send confirmation receipt_50NNsOU_20131205 080028000000 -> send confirmation receipt_10gMgMl_20131205 080029000000 (frequency = 1, performance = 1.00)
send confirmation receipt_50xlOwc_20130328 200909000000 -> regular procedure without MER (frequency = 1, performance = 257.00)
send confirmation receipt_51Hhwcc_20130103 223212000000 -> start WABOprocedure (frequency = 1, performance = 277.00)
send confirmation receipt_51kaiSK_20120706 165018000000 -> regular procedure without MER (frequency = 1, performance = 3.00)
send confirmation receipt_51vdfbw_20111107 171416000000 -> send procedure confirmation (frequency = 1, performance = 12.00)
send confirmation receipt_52DLlHM_20120419 170345000000 -> send confirmation receipt_81BzTlz_20120419 170353000000 (frequency = 1, performance = 8.00)
send confirmation receipt_52KdJVC_20141218 080122000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_52QcESt_20120712 225135000000 -> regular procedure without MER (frequency = 1, performance = 96.00)
send confirmation receipt_53MFoyU_20140512 070036000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_53phiFs_20150213 080010000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_54KIGoX_20130906 070011000000 -> send confirmation receipt_70sbtoJ_20130906 070012000000 (frequency = 1, performance = 1.00)
send confirmation receipt_54TRPOd_20120709 200010000000 -> regular procedure without MER (frequency = 1, performance = 347.00)
send confirmation receipt_54WvgTx_20150209 080031000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_54YiCgL_20141006 070109000000 -> send confirmation receipt_36DKxDr_20141006 070110000000 (frequency = 1, performance = 1.00)
send confirmation receipt_54jmlhM_20130402 215013000000 -> regular procedure without MER (frequency = 1, performance = 174392.00)
send confirmation receipt_54kxhnV_20111024 163148000000 -> send procedure confirmation (frequency = 1, performance = 33.00)
send confirmation receipt_54wuCEI_20140203 080030000000 -> send confirmation receipt_35RnelR_20140203 080031000000 (frequency = 1, performance = 1.00)
send confirmation receipt_56eszos_20120607 185353000000 -> send confirmation receipt_00wmFoR_20120607 185637000000 (frequency = 1, performance = 164.00)
send confirmation receipt_56iABcs_20120322 174746000000 -> send procedure confirmation (frequency = 1, performance = 10.00)
send confirmation receipt_56kuJAz_20110726 172457000000 -> send procedure confirmation (frequency = 1, performance = 69.00)
send confirmation receipt_57FodeL_20120608 153643000000 -> regular procedure without MER (frequency = 1, performance = 4.00)
send confirmation receipt_57aNBYa_20111017 222649000000 -> send confirmation receipt_71Lprpf_20111017 222650000000 (frequency = 1, performance = 1.00)
send confirmation receipt_57eRXiN_20130523 070209000000 -> send confirmation receipt_43yvHwt_20130523 070210000000 (frequency = 1, performance = 1.00)
send confirmation receipt_57jDSKm_20130916 070030000000 -> send confirmation receipt_13pKjDL_20130916 070031000000 (frequency = 1, performance = 1.00)
send confirmation receipt_58WTGYq_20120109 180019000000 -> send procedure confirmation (frequency = 1, performance = 11.00)
send confirmation receipt_58YdINo_20120525 160221000000 -> regular procedure without MER (frequency = 1, performance = 3.00)
send confirmation receipt_58kolPE_20120525 201947000000 -> regular procedure without MER (frequency = 1, performance = 101.00)
send confirmation receipt_59bcmmu_20120724 212258000000 -> regular procedure without MER (frequency = 1, performance = 3.00)
send confirmation receipt_59nApLx_20120314 194104000000 -> send procedure confirmation (frequency = 1, performance = 116.00)
send confirmation receipt_59nyUYn_20140425 070029000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_59zcJGF_20120424 214621000000 -> send procedure confirmation (frequency = 1, performance = 67.00)
send confirmation receipt_60XdgJS_20141120 080122000000 -> send confirmation receipt_28gaPvv_20141120 080123000000 (frequency = 1, performance = 1.00)
send confirmation receipt_60eKulN_20120712 214010000000 -> message terminate request (frequency = 1, performance = 2240468.00)
send confirmation receipt_61ColAI_20120329 184113000000 -> send procedure confirmation (frequency = 1, performance = 2497235.00)
send confirmation receipt_61GfgXP_20120330 171130000000 -> send confirmation receipt_19vMKvr_20120330 171614000000 (frequency = 1, performance = 284.00)
send confirmation receipt_61SCuhj_20150107 080016000000 -> updated plan received (frequency = 1, performance = 1.00)
send confirmation receipt_61VmEra_20110829 184223000000 -> send confirmation receipt_83PCRiJ_20110829 184224000000 (frequency = 1, performance = 1.00)
send confirmation receipt_61lVJcR_20110818 163620000000 -> send confirmation receipt_23KXAym_20110818 163621000000 (frequency = 1, performance = 1.00)
send confirmation receipt_61qMUJG_20140324 080040000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_61yeknM_20120322 194051000000 -> send confirmation receipt_96eVjKK_20120322 194058000000 (frequency = 1, performance = 7.00)
send confirmation receipt_62LMGPh_20140908 070150000000 -> send confirmation receipt_40vUbvJ_20140908 070151000000 (frequency = 1, performance = 1.00)
send confirmation receipt_62htimj_20120322 204853000000 -> send confirmation receipt_63yekfL_20120322 205352000000 (frequency = 1, performance = 299.00)
send confirmation receipt_62sXELc_20131205 080038000000 -> send confirmation receipt_38BMUuJ_20131205 080039000000 (frequency = 1, performance = 1.00)
send confirmation receipt_62wAMOk_20150226 080114000000 -> send confirmation receipt_43VvSAc_20150226 080115000000 (frequency = 1, performance = 1.00)
send confirmation receipt_63Lzkxq_20110915 181432000000 -> send procedure confirmation (frequency = 1, performance = 8.00)
send confirmation receipt_63WHEyU_20140313 080109000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_63sOoQL_20120521 160124000000 -> regular procedure without MER (frequency = 1, performance = 7.00)
send confirmation receipt_63yekfL_20120322 205352000000 -> send procedure confirmation (frequency = 1, performance = 8.00)
send confirmation receipt_64OPsfD_20130829 070036000000 -> send confirmation receipt_46tdNXx_20130829 070037000000 (frequency = 1, performance = 1.00)
send confirmation receipt_64RUqst_20111028 180324000000 -> send procedure confirmation (frequency = 1, performance = 1.00)
send confirmation receipt_65EKNQg_20120720 193225000000 -> regular procedure without MER (frequency = 1, performance = 4.00)
send confirmation receipt_65EUGmS_20120213 175644000000 -> send procedure confirmation (frequency = 1, performance = 17.00)
send confirmation receipt_65JpoHf_20120913 175852000000 -> regular procedure without MER (frequency = 1, performance = 34.00)
send confirmation receipt_65OGWIK_20120913 213117000000 -> regular procedure without MER (frequency = 1, performance = 3.00)
send confirmation receipt_65sAplL_20131220 080124000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_66NPIEk_20130516 070050000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_66PUrwZ_20130919 070057000000 -> send confirmation receipt_47jOJAv_20130919 070058000000 (frequency = 1, performance = 1.00)
send confirmation receipt_67drLqW_20111222 170740000000 -> send procedure confirmation (frequency = 1, performance = 10.00)
send confirmation receipt_67hCbkd_20110912 223423000000 -> send confirmation receipt_95eKaJB_20110912 223424000000 (frequency = 1, performance = 1.00)
send confirmation receipt_68MlxTP_20121115 190214000000 -> send confirmation receipt_40LfEzG_20121115 190425000000 (frequency = 1, performance = 131.00)
send confirmation receipt_68ePhKa_20120720 174525000000 -> regular procedure without MER (frequency = 1, performance = 3.00)
send confirmation receipt_68hdnaX_20150212 080126000000 -> send confirmation receipt_20pksce_20150212 080127000000 (frequency = 1, performance = 1.00)
send confirmation receipt_68heXGW_20130610 070042000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_69GpNVT_20130610 070041000000 -> send confirmation receipt_68heXGW_20130610 070042000000 (frequency = 1, performance = 1.00)
send confirmation receipt_69yxuNg_20140728 070038000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_70NBoyE_20140522 070133000000 -> send confirmation receipt_75oGAQl_20140522 070134000000 (frequency = 1, performance = 1.00)
send confirmation receipt_70fmLjK_20110915 193554000000 -> send procedure confirmation (frequency = 1, performance = 13.00)
send confirmation receipt_70sbtoJ_20130906 070012000000 -> applicant is stakeholder (frequency = 1, performance = 259214.00)
send confirmation receipt_71Lprpf_20111017 222650000000 -> send procedure confirmation (frequency = 1, performance = 1.00)
send confirmation receipt_71ZNQUF_20120525 160216000000 -> send confirmation receipt_58YdINo_20120525 160221000000 (frequency = 1, performance = 5.00)
send confirmation receipt_71mMcFI_20120305 195615000000 -> send procedure confirmation (frequency = 1, performance = 7.00)
send confirmation receipt_71njlve_20120210 172646000000 -> send procedure confirmation (frequency = 1, performance = 8.00)
send confirmation receipt_72SxNdg_20130408 212838000000 -> regular procedure without MER (frequency = 1, performance = 138.00)
send confirmation receipt_72ZlETA_20131220 080123000000 -> send confirmation receipt_65sAplL_20131220 080124000000 (frequency = 1, performance = 1.00)
send confirmation receipt_72aDzKc_20120618 164330000000 -> regular procedure without MER (frequency = 1, performance = 4.00)
send confirmation receipt_72bqnBt_20111018 192009000000 -> send confirmation receipt_29TMNAe_20111018 192010000000 (frequency = 1, performance = 1.00)
send confirmation receipt_72jFVWQ_20120329 183723000000 -> send confirmation receipt_61ColAI_20120329 184113000000 (frequency = 1, performance = 230.00)
send confirmation receipt_72oBhfM_20140211 080031000000 -> send procedure confirmation (frequency = 1, performance = 1.00)
send confirmation receipt_72ufBar_20121029 181951000000 -> regular procedure without MER (frequency = 1, performance = 2.00)
send confirmation receipt_73PCGsX_20120925 223014000000 -> regular procedure without MER (frequency = 1, performance = 3.00)
send confirmation receipt_73fQmqD_20120716 192832000000 -> send confirmation receipt_10gUcRW_20120716 193039000000 (frequency = 1, performance = 127.00)
send confirmation receipt_73rGhjO_20140902 070118000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_74dHqbW_20120913 195028000000 -> send confirmation receipt_96pzWqW_20120913 195244000000 (frequency = 1, performance = 136.00)
send confirmation receipt_74fCJKW_20150226 080124000000 -> send confirmation receipt_34JhGat_20150226 080125000000 (frequency = 1, performance = 1.00)
send confirmation receipt_75RlNpW_20120720 192855000000 -> send confirmation receipt_65EKNQg_20120720 193225000000 (frequency = 1, performance = 210.00)
send confirmation receipt_75YkYOC_20141016 070110000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_75oGAQl_20140522 070134000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_76NhgXF_20140902 070117000000 -> send confirmation receipt_73rGhjO_20140902 070118000000 (frequency = 1, performance = 1.00)
send confirmation receipt_76PanjA_20141106 080100000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_76QfSiq_20120427 200945000000 -> enter senddate acknowledgement (frequency = 1, performance = 298217.00)
send confirmation receipt_76lLdKC_20121018 171102000000 -> regular procedure without MER (frequency = 1, performance = 4.00)
send confirmation receipt_77xtawV_20150114 080106000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_78hpvlb_20110816 213056000000 -> send confirmation receipt_03lnmvh_20110816 213057000000 (frequency = 1, performance = 1.00)
send confirmation receipt_79KxZAn_20140501 070135000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_79SExIU_20130321 221535000000 -> regular procedure without MER (frequency = 1, performance = 503.00)
send confirmation receipt_79SZHHm_20140313 080108000000 -> send confirmation receipt_63WHEyU_20140313 080109000000 (frequency = 1, performance = 1.00)
send confirmation receipt_79gfzPP_20141120 080155000000 -> send confirmation receipt_14RScmT_20141120 080156000000 (frequency = 1, performance = 1.00)
send confirmation receipt_79xQhmB_20140512 070023000000 -> send confirmation receipt_89sPXML_20140512 070024000000 (frequency = 1, performance = 1.00)
send confirmation receipt_80WXDUB_20130717 070040000000 -> send letter in progress (frequency = 1, performance = 1.00)
send confirmation receipt_80XHSFy_20140102 080021000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_80cEcSR_20141117 080031000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_80eeCMT_20110929 210244000000 -> send confirmation receipt_26qLeFV_20110929 210245000000 (frequency = 1, performance = 1.00)
send confirmation receipt_80sIhLc_20110829 233951000000 -> send procedure confirmation (frequency = 1, performance = 1.00)
send confirmation receipt_81BzTlz_20120419 170353000000 -> send procedure confirmation (frequency = 1, performance = 201.00)
send confirmation receipt_81Wcnmj_20121127 213531000000 -> regular procedure without MER (frequency = 1, performance = 3.00)
send confirmation receipt_81pjtXK_20110712 192718000000 -> send procedure confirmation (frequency = 1, performance = 8.00)
send confirmation receipt_82SMput_20150213 080009000000 -> send confirmation receipt_53phiFs_20150213 080010000000 (frequency = 1, performance = 1.00)
send confirmation receipt_82SiInf_20131114 080101000000 -> send confirmation receipt_86AWdBg_20131114 080102000000 (frequency = 1, performance = 1.00)
send confirmation receipt_83Gjsro_20130103 195207000000 -> start WABOprocedure (frequency = 1, performance = 3.00)
send confirmation receipt_83PCRiJ_20110829 184224000000 -> enter receipt of additional data (frequency = 1, performance = 1.00)
send confirmation receipt_83mgJaT_20120814 185506000000 -> send confirmation receipt_02PhrMQ_20120814 185729000000 (frequency = 1, performance = 143.00)
send confirmation receipt_83wbzsU_20120612 182542000000 -> start WABOprocedure (frequency = 1, performance = 876.00)
send confirmation receipt_84LbzCX_20130128 223845000000 -> send confirmation receipt_49mnYNP_20130128 224202000000 (frequency = 1, performance = 197.00)
send confirmation receipt_84kTGCl_20120724 202704000000 -> regular procedure without MER (frequency = 1, performance = 4.00)
send confirmation receipt_84uuhZe_20141217 080105000000 -> close case (frequency = 1, performance = 4924774.00)
send confirmation receipt_85DZyiT_20131010 070026000000 -> send letter in progress (frequency = 1, performance = 1.00)
send confirmation receipt_85Ovxza_20120208 001553000000 -> send procedure confirmation (frequency = 1, performance = 10.00)
send confirmation receipt_85VdLLR_20140331 070048000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_85hzSFG_20140228 080115000000 -> send confirmation receipt_48lCHIc_20140228 080116000000 (frequency = 1, performance = 1.00)
send confirmation receipt_85sCEnT_20130523 070220000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
