Case,Timestamp,Activity,Resource,label
4575,2024-12-10 22:51:07,Signal food complete,Cook-000002,
4575,2024-12-10 23:10:36,Bring food,Cook helper-000002,
4575,2024-12-10 23:12:17,Deliver to customer,Waiter-000002,
4575,2024-12-10 23:14:59,EVENT 8 END,,
4576,2024-11-21 02:00:00,start,,
4576,2024-11-21 18:00:00,Take order,Waiter-000004,
4576,2024-11-21 18:00:40,Review order,Waiter-000005,
4576,2024-11-21 18:00:47,Prepare starter,Cook helper-000001,
4576,2024-11-21 18:00:47,prepare drinks,Barman-000003,
4576,2024-11-21 18:01:17,Bring drinks,Barman-000002,
4576,2024-11-21 18:07:04,Review drinks,Waiter-000001,
4576,2024-11-29 23:02:25,Signal food complete,Cook-000002,
4576,2024-11-29 23:18:57,Bring food,Cook helper-000002,
4576,2024-11-29 23:19:46,Deliver to customer,Waiter-000001,
4576,2024-11-29 23:21:00,EVENT 8 END,,
4577,2024-11-21 18:15:00,Take order,Waiter-000005,
4577,2024-11-21 18:15:00,start,,
4577,2024-11-21 18:15:31,Review order,Waiter-000002,
4577,2024-11-21 18:19:37,prepare drinks,Barman-000002,
4577,2024-11-21 18:22:04,Bring drinks,Barman-000003,
4577,2024-11-21 18:22:57,Review drinks,Waiter-000003,
4577,2024-11-29 23:18:57,Prepare main course,Cook-000002,
4577,2024-12-10 23:02:05,Signal food complete,Cook-000003,
4577,2024-12-10 23:28:16,Bring food,Cook helper-000003,
4577,2024-12-10 23:31:12,Deliver to customer,Waiter-000003,
4577,2024-12-10 23:32:14,EVENT 8 END,,
4578,2024-11-21 18:30:00,Take order,Waiter-000004,
4578,2024-11-21 18:30:00,start,,
4578,2024-11-21 18:30:12,Review order,Waiter-000005,
4578,2024-11-21 18:32:21,Prepare starter,Cook helper-000001,
4578,2024-11-21 18:32:21,prepare drinks,Barman-000001,
4578,2024-11-21 18:33:15,Bring drinks,Barman-000002,
4578,2024-11-21 18:37:25,Review drinks,Waiter-000002,
4578,2024-11-29 23:37:35,Prepare main course,Cook-000001,
4578,2024-12-10 23:15:17,Signal food complete,Cook-000002,
4578,2024-12-10 23:32:34,Bring food,Cook helper-000002,
4578,2024-12-10 23:34:03,Deliver to customer,Waiter-000004,
4578,2024-12-10 23:41:09,EVENT 8 END,,
4579,2024-11-21 18:45:00,Take order,Waiter-000004,
4579,2024-11-21 18:45:00,start,,
4579,2024-11-21 18:47:35,Review order,Waiter-000001,
4579,2024-11-21 18:47:59,prepare drinks,Barman-000003,
4579,2024-11-21 18:50:16,Bring drinks,Barman-000001,
4579,2024-11-21 18:52:05,Review drinks,Waiter-000005,
4579,2024-11-29 23:53:51,Prepare main course,Cook-000002,
4579,2024-12-11 00:36:32,Signal food complete,Cook-000002,
4579,2024-12-11 00:52:00,Bring food,Cook helper-000003,
4579,2024-12-11 01:03:30,Deliver to customer,Waiter-000002,
4579,2024-12-11 01:04:13,EVENT 8 END,,
4580,2024-11-21 19:00:00,Take order,Waiter-000004,
4580,2024-11-21 19:00:00,start,,
4580,2024-11-21 19:09:05,Review order,Waiter-000001,
4580,2024-11-21 19:10:02,prepare drinks,Barman-000002,
4580,2024-11-21 19:11:12,Bring drinks,Barman-000003,
4580,2024-11-21 19:12:38,Review drinks,Waiter-000002,
4580,2024-11-21 19:12:58,prepare drinks,Barman-000001,
4580,2024-11-21 19:20:32,Bring drinks,Barman-000002,
4580,2024-11-21 19:22:52,Review drinks,Waiter-000004,
4580,2024-11-30 00:30:58,Prepare main course,Cook-000001,
4580,2024-12-11 00:01:16,Signal food complete,Cook-000002,
4580,2024-12-11 00:36:32,Bring food,Cook helper-000001,
4580,2024-12-11 00:39:13,Deliver to customer,Waiter-000005,
4580,2024-12-11 00:39:22,EVENT 8 END,,
4581,2024-11-21 19:15:00,Take order,Waiter-000003,
4581,2024-11-21 19:15:00,start,,
4581,2024-11-21 19:15:33,Review order,Waiter-000004,
4581,2024-11-21 19:15:40,Prepare starter,Cook helper-000002,
4581,2024-11-21 19:15:40,prepare drinks,Barman-000002,
4581,2024-11-21 19:19:06,Bring drinks,Barman-000003,
4581,2024-11-21 19:19:48,Review drinks,Waiter-000001,
4581,2024-11-21 19:19:48,prepare drinks,Barman-000002,
4581,2024-11-21 19:20:17,Bring drinks,Barman-000003,
4581,2024-11-21 19:20:18,Review drinks,Waiter-000005,
4581,2024-11-30 01:05:08,Signal food complete,Cook-000003,
4581,2024-11-30 01:28:11,Bring food,Cook helper-000003,
4581,2024-11-30 01:29:16,Deliver to customer,Waiter-000001,
4581,2024-11-30 01:33:16,EVENT 8 END,,
4582,2024-11-21 19:30:00,Take order,Waiter-000001,
4582,2024-11-21 19:30:00,start,,
4582,2024-11-21 19:31:20,Review order,Waiter-000005,
4582,2024-11-21 19:31:31,Prepare starter,Cook helper-000001,
4582,2024-11-21 19:31:31,prepare drinks,Barman-000003,
4582,2024-11-21 19:34:29,Bring drinks,Barman-000001,
4582,2024-11-21 19:35:38,Review drinks,Waiter-000003,
4582,2024-11-30 01:28:11,Signal food complete,Cook-000003,
4582,2024-12-02 18:44:28,Bring food,Cook helper-000001,
4582,2024-12-02 18:47:27,Deliver to customer,Waiter-000001,
4582,2024-12-02 18:50:52,EVENT 8 END,,
4583,2024-11-21 19:45:00,Take order,Waiter-000005,
4583,2024-11-21 19:45:00,start,,
4583,2024-11-21 19:45:00,Bring drinks_signed1,,collateral events(Bring drinks)
4583,2024-11-21 19:48:02,Review order,Waiter-000003,
4583,2024-11-21 19:48:02,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
4583,2024-11-21 19:48:07,Prepare starter,Cook helper-000001,
4583,2024-11-21 19:48:07,prepare drinks,Barman-000002,
4583,2024-11-21 19:48:08,Bring drinks_signed1,Cook helper-000001,collateral events(Bring drinks)
4583,2024-11-21 19:51:20,Bring drinks,Barman-000003,
4583,2024-11-21 19:52:11,Review drinks,Waiter-000002,
4583,2024-11-21 19:52:12,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
4583,2024-11-30 01:45:57,Prepare main course,Cook-000002,
4583,2024-11-30 01:45:57,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
4583,2024-12-11 01:09:14,Signal food complete,Cook-000001,
4583,2024-12-11 01:09:14,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
4583,2024-12-11 01:32:54,Bring food,Cook helper-000002,
4583,2024-12-11 01:32:55,Bring drinks_signed1,Cook helper-000002,collateral events(Bring drinks)
4583,2024-12-11 01:34:58,Deliver to customer,Waiter-000001,
4583,2024-12-11 01:34:58,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
4583,2024-12-11 01:37:17,EVENT 8 END,,
4583,2024-12-11 01:37:18,Bring drinks_signed1,,collateral events(Bring drinks)
4584,2024-11-21 20:00:00,Take order,Waiter-000004,
4584,2024-11-21 20:00:00,start,,
4584,2024-11-21 20:02:00,Review order,Waiter-000005,
4584,2024-11-21 20:05:20,Prepare starter,Cook helper-000002,
4584,2024-11-21 20:05:20,prepare drinks,Barman-000001,
4584,2024-11-21 20:15:30,Bring drinks,Barman-000003,
4584,2024-11-21 20:15:34,Review drinks,Waiter-000005,
4584,2024-11-21 20:17:25,prepare drinks,Barman-000001,
4584,2024-11-21 20:23:52,Bring drinks,Barman-000003,
4584,2024-11-21 20:27:09,Review drinks,Waiter-000005,
4584,2024-12-02 18:06:12,Prepare main course,Cook-000001,
4584,2024-12-11 01:32:54,Signal food complete,Cook-000001,
4584,2024-12-11 01:40:43,Bring food,Cook helper-000001,
4584,2024-12-11 01:45:43,Deliver to customer,Waiter-000003,
4584,2024-12-11 01:46:13,EVENT 8 END,,
4585,2024-11-21 20:15:00,Take order,Waiter-000001,
4585,2024-11-21 20:15:00,start,,
4585,2024-11-21 20:15:00,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
4585,2024-11-21 20:15:00,Review order,Waiter-000004,
4585,2024-11-21 20:15:19,Prepare starter,Cook helper-000002,
4585,2024-11-21 20:15:19,prepare drinks,Barman-000002,
4585,2024-11-21 20:15:20,Bring drinks_signed1,Barman-000002,collateral events(Bring drinks)
4585,2024-11-21 20:17:51,Bring drinks,Barman-000003,
4585,2024-11-21 20:23:03,Review drinks,Waiter-000002,
4585,2024-11-21 20:23:04,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
4585,2024-11-21 20:23:23,prepare drinks,Barman-000002,
4585,2024-11-21 20:23:23,Bring drinks_signed1,Barman-000002,collateral events(Bring drinks)
4585,2024-11-21 20:26:06,Bring drinks,Barman-000001,
4585,2024-11-21 20:26:11,Review drinks,Waiter-000004,
4585,2024-11-21 20:26:12,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
4585,2024-12-02 18:08:09,Prepare main course,Cook-000001,
4585,2024-12-02 18:08:09,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
4585,2024-12-11 01:34:31,Signal food complete,Cook-000003,
4585,2024-12-11 01:34:31,Bring drinks_signed1,Cook-000003,collateral events(Bring drinks)
4585,2024-12-11 19:09:38,Bring food,Cook helper-000003,
4585,2024-12-11 19:09:39,Bring drinks_signed1,Cook helper-000003,collateral events(Bring drinks)
4585,2024-12-11 19:18:27,Deliver to customer,Waiter-000003,
4585,2024-12-11 19:18:27,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
4585,2024-12-11 19:19:55,EVENT 8 END,,
4585,2024-12-11 19:19:56,Bring drinks_signed1,,collateral events(Bring drinks)
4586,2024-11-21 20:30:00,Take order,Waiter-000002,
4586,2024-11-21 20:30:00,start,,
4586,2024-11-21 20:38:03,Review order,Waiter-000003,
4586,2024-11-21 20:39:08,Prepare starter,Cook helper-000001,
4586,2024-11-21 20:39:08,prepare drinks,Barman-000002,
4586,2024-11-21 20:42:53,Bring drinks,Barman-000001,
4586,2024-11-21 20:44:44,Review drinks,Waiter-000004,
4586,2024-12-02 18:44:28,Prepare main course,Cook-000003,
4586,2024-12-11 19:11:42,Signal food complete,Cook-000002,
4586,2024-12-11 19:21:44,Bring food,Cook helper-000001,
4586,2024-12-11 19:24:41,Deliver to customer,Waiter-000004,
4586,2024-12-11 19:24:43,EVENT 8 END,,
4587,2024-11-21 20:45:00,Take order,Waiter-000005,
4587,2024-11-21 20:45:00,start,,
4587,2024-11-21 20:48:41,Review order,Waiter-000002,
4587,2024-11-21 20:50:12,prepare drinks,Barman-000003,
4587,2024-11-21 21:02:31,Bring drinks,Barman-000002,
4587,2024-11-21 21:07:53,Review drinks,Waiter-000002,
4587,2024-12-02 18:52:23,Prepare main course,Cook-000002,
4587,2024-12-11 18:05:15,Signal food complete,Cook-000002,
4587,2024-12-11 18:07:04,Bring food,Cook helper-000002,
4587,2024-12-11 18:09:41,Deliver to customer,Waiter-000005,
4587,2024-12-11 18:10:26,EVENT 8 END,,
4588,2024-11-21 21:00:00,Take order,Waiter-000003,
4588,2024-11-21 21:00:00,start,,
4588,2024-11-21 21:00:40,Review order,Waiter-000001,
4588,2024-11-21 21:00:46,Prepare starter,Cook helper-000003,
4588,2024-11-21 21:00:46,prepare drinks,Barman-000002,
4588,2024-11-21 21:01:51,Bring drinks,Barman-000001,
4588,2024-11-21 21:03:01,Review drinks,Waiter-000004,
4588,2024-12-02 18:53:35,Prepare main course,Cook-000002,
4588,2024-12-11 18:07:04,Signal food complete,Cook-000002,
4588,2024-12-11 19:11:42,Bring food,Cook helper-000002,
4588,2024-12-11 19:13:58,Deliver to customer,Waiter-000001,
4588,2024-12-11 19:19:26,EVENT 8 END,,
4589,2024-11-21 21:15:00,Take order,Waiter-000001,
4589,2024-11-21 21:15:00,start,,
4589,2024-11-21 21:15:00,Bring drinks_signed1,,collateral events(Bring drinks)
4589,2024-11-21 21:15:26,Review order,Waiter-000004,
4589,2024-11-21 21:15:27,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
4589,2024-11-21 21:15:48,prepare drinks,Barman-000003,
4589,2024-11-21 21:15:48,Bring drinks_signed1,Barman-000003,collateral events(Bring drinks)
4589,2024-11-21 21:21:39,Bring drinks,Barman-000001,
4589,2024-11-21 21:29:41,Review drinks,Waiter-000004,
4589,2024-11-21 21:29:42,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
4589,2024-11-21 21:29:48,prepare drinks,Barman-000002,
4589,2024-11-21 21:29:49,Bring drinks_signed1,Barman-000002,collateral events(Bring drinks)
4589,2024-11-21 21:35:39,Bring drinks,Barman-000003,
4589,2024-11-21 21:47:47,Review drinks,Waiter-000005,
4589,2024-11-21 21:47:47,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
4589,2024-11-21 21:49:01,prepare drinks,Barman-000001,
4589,2024-11-21 21:49:02,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
4589,2024-11-21 21:57:35,Bring drinks,Barman-000001,
4589,2024-11-21 22:10:18,Review drinks,Waiter-000003,
4589,2024-11-21 22:10:19,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
4589,2024-11-21 22:10:55,prepare drinks,Barman-000001,
4589,2024-11-21 22:10:55,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
4589,2024-11-21 22:13:33,Bring drinks,Barman-000001,
4589,2024-11-21 22:18:38,Review drinks,Waiter-000003,
4589,2024-11-21 22:18:39,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
4589,2024-12-02 18:58:00,Prepare main course,Cook-000001,
4589,2024-12-02 18:58:00,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
4589,2024-12-11 18:45:58,Signal food complete,Cook-000001,
4589,2024-12-11 18:45:59,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
4589,2024-12-11 18:55:19,Bring food,Cook helper-000001,
4589,2024-12-11 18:55:19,Bring drinks_signed1,Cook helper-000001,collateral events(Bring drinks)
4589,2024-12-11 19:13:33,Deliver to customer,Waiter-000002,
4589,2024-12-11 19:13:34,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
4589,2024-12-11 19:16:31,EVENT 8 END,,
4589,2024-12-11 19:16:32,Bring drinks_signed1,,collateral events(Bring drinks)
4590,2024-11-21 21:30:00,Take order,Waiter-000005,
4590,2024-11-21 21:30:00,start,,
4590,2024-11-21 21:30:00,Bring drinks_signed1,,collateral events(Bring drinks)
4590,2024-11-21 21:40:24,Review order,Waiter-000003,
4590,2024-11-21 21:40:25,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
4590,2024-11-21 21:42:19,prepare drinks,Barman-000001,
4590,2024-11-21 21:42:20,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
4590,2024-11-21 21:45:36,Bring drinks,Barman-000002,
4590,2024-11-21 21:58:07,Review drinks,Waiter-000003,
4590,2024-11-21 21:58:07,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
4590,2024-12-02 19:20:22,Prepare main course,Cook-000002,
4590,2024-12-02 19:20:23,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
4590,2024-12-11 19:09:38,Signal food complete,Cook-000003,
4590,2024-12-11 19:09:38,Bring drinks_signed1,Cook-000003,collateral events(Bring drinks)
4590,2024-12-11 19:36:11,Bring food,Cook helper-000003,
4590,2024-12-11 19:36:11,Bring drinks_signed1,Cook helper-000003,collateral events(Bring drinks)
4590,2024-12-11 19:41:18,Deliver to customer,Waiter-000002,
4590,2024-12-11 19:41:18,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
4590,2024-12-11 19:43:20,EVENT 8 END,,
4590,2024-12-11 19:43:20,Bring drinks_signed1,,collateral events(Bring drinks)
4591,2024-11-21 21:45:00,Take order,Waiter-000001,
4591,2024-11-21 21:45:00,start,,
4591,2024-11-21 21:45:02,Review order,Waiter-000004,
4591,2024-11-21 21:47:12,prepare drinks,Barman-000001,
4591,2024-11-21 21:48:20,Bring drinks,Barman-000003,
4591,2024-11-21 21:59:02,Review drinks,Waiter-000001,
4591,2024-11-21 21:59:52,prepare drinks,Barman-000002,
4591,2024-11-21 22:06:22,Bring drinks,Barman-000002,
4591,2024-11-21 22:14:11,Review drinks,Waiter-000004,
4591,2024-11-21 22:14:39,prepare drinks,Barman-000002,
4591,2024-11-21 22:14:58,Bring drinks,Barman-000002,
4591,2024-11-21 22:20:31,Review drinks,Waiter-000001,
4591,2024-12-02 19:28:53,Prepare main course,Cook-000003,
4591,2024-12-11 19:21:44,Signal food complete,Cook-000002,
4591,2024-12-11 19:59:32,Bring food,Cook helper-000002,
4591,2024-12-11 20:12:05,Deliver to customer,Waiter-000004,
4591,2024-12-11 20:14:22,EVENT 8 END,,
4592,2024-11-21 22:00:00,Take order,Waiter-000004,
4592,2024-11-21 22:00:00,start,,
4592,2024-11-21 22:00:43,Review order,Waiter-000002,
4592,2024-11-21 22:01:00,prepare drinks,Barman-000003,
4592,2024-11-21 22:10:09,Bring drinks,Barman-000003,
4592,2024-11-21 22:19:30,Review drinks,Waiter-000004,
4592,2024-12-02 19:38:44,Prepare main course,Cook-000003,
4592,2024-12-11 19:25:51,Signal food complete,Cook-000001,
4592,2024-12-11 19:28:53,Bring food,Cook helper-000002,
4592,2024-12-11 19:32:30,Deliver to customer,Waiter-000005,
4592,2024-12-11 19:34:43,EVENT 8 END,,
4593,2024-11-21 22:15:00,Take order,Waiter-000002,
4593,2024-11-21 22:15:00,start,,
4593,2024-11-21 22:15:00,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
4593,2024-11-21 22:17:15,Review order,Waiter-000005,
4593,2024-11-21 22:17:16,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
4593,2024-11-21 22:17:48,Prepare starter,Cook helper-000003,
4593,2024-11-21 22:17:49,Bring drinks_signed1,Cook helper-000003,collateral events(Bring drinks)
4593,2024-11-21 22:18:38,prepare drinks,Barman-000001,
4593,2024-11-21 22:18:39,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
4593,2024-11-21 22:24:52,Bring drinks,Barman-000003,
4593,2024-11-21 22:27:21,Review drinks,Waiter-000005,
4593,2024-11-21 22:27:21,prepare drinks,Barman-000002,
4593,2024-11-21 22:27:22,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
4593,2024-11-21 22:35:54,Bring drinks,Barman-000001,
4593,2024-11-21 22:43:18,Review drinks,Waiter-000001,
4593,2024-11-21 22:43:19,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
4593,2024-12-02 19:47:04,Prepare main course,Cook-000001,
4593,2024-12-02 19:47:05,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
4593,2024-12-11 19:36:26,Signal food complete,Cook-000001,
4593,2024-12-11 19:36:26,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
4593,2024-12-11 20:35:14,Bring food,Cook helper-000002,
4593,2024-12-11 20:35:14,Bring drinks_signed1,Cook helper-000002,collateral events(Bring drinks)
4593,2024-12-11 20:44:55,Deliver to customer,Waiter-000004,
4593,2024-12-11 20:44:55,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
4593,2024-12-11 20:48:13,EVENT 8 END,,
4593,2024-12-11 20:48:14,Bring drinks_signed1,,collateral events(Bring drinks)
4594,2024-11-21 22:30:00,Take order,Waiter-000003,
4594,2024-11-21 22:30:00,start,,
4594,2024-11-21 22:30:00,Bring drinks_signed1,,collateral events(Bring drinks)
4594,2024-11-21 22:35:57,Review order,Waiter-000004,
4594,2024-11-21 22:35:57,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
4594,2024-11-21 22:36:29,prepare drinks,Barman-000003,
4594,2024-11-21 22:36:29,Bring drinks_signed1,Barman-000003,collateral events(Bring drinks)
4594,2024-11-21 22:46:36,Bring drinks,Barman-000001,
4594,2024-11-21 22:56:47,Review drinks,Waiter-000005,
4594,2024-11-21 22:56:48,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
4594,2024-12-02 20:07:48,Prepare main course,Cook-000001,
4594,2024-12-02 20:07:49,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
4594,2024-12-11 20:01:02,Signal food complete,Cook-000003,
4594,2024-12-11 20:01:03,Bring drinks_signed1,Cook-000003,collateral events(Bring drinks)
4594,2024-12-11 20:03:49,Bring food,Cook helper-000003,
4594,2024-12-11 20:03:49,Bring drinks_signed1,Cook helper-000003,collateral events(Bring drinks)
4594,2024-12-11 20:06:04,Deliver to customer,Waiter-000003,
4594,2024-12-11 20:06:05,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
4594,2024-12-11 20:08:36,EVENT 8 END,,
4594,2024-12-11 20:08:36,Bring drinks_signed1,,collateral events(Bring drinks)
4595,2024-11-21 22:45:00,Take order,Waiter-000005,
4595,2024-11-21 22:45:00,start,,
4595,2024-11-21 22:45:00,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
4595,2024-11-21 22:45:24,Review order,Waiter-000003,
4595,2024-11-21 22:45:25,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
4595,2024-11-21 22:46:05,prepare drinks,Barman-000002,
4595,2024-11-21 22:46:05,Bring drinks_signed1,Barman-000002,collateral events(Bring drinks)
4595,2024-11-21 22:49:08,Bring drinks,Barman-000003,
4595,2024-11-21 22:49:44,Review drinks,Waiter-000002,
4595,2024-11-21 22:49:44,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
4595,2024-12-02 20:40:02,Prepare main course,Cook-000002,
4595,2024-12-02 20:40:03,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
4595,2024-12-11 20:02:35,Signal food complete,Cook-000002,
4595,2024-12-11 20:02:35,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
4595,2024-12-11 20:20:52,Bring food,Cook helper-000003,
4595,2024-12-11 20:20:53,Bring drinks_signed1,Cook helper-000003,collateral events(Bring drinks)
4595,2024-12-11 20:22:28,Deliver to customer,Waiter-000005,
4595,2024-12-11 20:22:29,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
4595,2024-12-11 20:23:50,EVENT 8 END,,
4595,2024-12-11 20:23:50,Bring drinks_signed1,,collateral events(Bring drinks)
4596,2024-11-21 23:00:00,Take order,Waiter-000003,
4596,2024-11-21 23:00:00,start,,
4596,2024-11-21 23:00:00,Bring drinks_signed1,,collateral events(Bring drinks)
4596,2024-11-21 23:01:20,Review order,Waiter-000002,
4596,2024-11-21 23:01:21,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
4596,2024-11-21 23:01:41,Prepare starter,Cook helper-000003,
4596,2024-11-21 23:01:41,prepare drinks,Barman-000002,
4596,2024-11-21 23:01:42,Bring drinks_signed1,Barman-000002,collateral events(Bring drinks)
4596,2024-11-21 23:01:55,Bring drinks,Barman-000003,
4596,2024-11-21 23:11:19,Review drinks,Waiter-000005,
4596,2024-11-21 23:11:19,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
4596,2024-12-02 21:12:24,Prepare main course,Cook-000001,
4596,2024-12-02 21:12:25,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
4596,2024-12-11 20:26:18,Signal food complete,Cook-000002,
4596,2024-12-11 20:26:19,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
4596,2024-12-11 20:39:14,Bring food,Cook helper-000003,
4596,2024-12-11 20:39:14,Bring drinks_signed1,Cook helper-000003,collateral events(Bring drinks)
4596,2024-12-11 20:41:04,Deliver to customer,Waiter-000001,
4596,2024-12-11 20:41:05,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
4596,2024-12-11 20:41:10,EVENT 8 END,,
4596,2024-12-11 20:41:10,Bring drinks_signed1,,collateral events(Bring drinks)
4597,2024-11-21 23:15:00,Take order,Waiter-000003,
4597,2024-11-21 23:15:00,start,,
4597,2024-11-21 23:16:49,Review order,Waiter-000002,
4597,2024-11-21 23:17:58,prepare drinks,Barman-000001,
4597,2024-11-21 23:19:45,Bring drinks,Barman-000002,
4597,2024-11-21 23:25:42,Review drinks,Waiter-000001,
4597,2024-11-21 23:25:57,prepare drinks,Barman-000003,
4597,2024-11-21 23:30:04,Bring drinks,Barman-000001,
4597,2024-11-21 23:32:45,Review drinks,Waiter-000005,
4597,2024-12-02 21:24:28,Prepare main course,Cook-000002,
4597,2024-12-11 20:31:37,Signal food complete,Cook-000003,
4597,2024-12-11 20:41:17,Bring food,Cook helper-000001,
4597,2024-12-11 20:42:43,Deliver to customer,Waiter-000003,
4597,2024-12-11 20:46:53,EVENT 8 END,,
4598,2024-11-21 23:30:00,Take order,Waiter-000004,
4598,2024-11-21 23:30:00,start,,
4598,2024-11-21 23:33:38,Review order,Waiter-000003,
4598,2024-11-21 23:35:24,Prepare starter,Cook helper-000001,
4598,2024-11-21 23:35:24,prepare drinks,Barman-000002,
4598,2024-11-21 23:51:24,Bring drinks,Barman-000003,
4598,2024-11-21 23:55:08,Review drinks,Waiter-000003,
4598,2024-11-21 23:56:48,prepare drinks,Barman-000002,
4598,2024-11-22 00:03:41,Bring drinks,Barman-000003,
4598,2024-11-22 00:06:45,Review drinks,Waiter-000003,
4598,2024-12-02 21:27:00,Prepare main course,Cook-000003,
4598,2024-12-11 20:41:17,Signal food complete,Cook-000003,
4598,2024-12-11 23:42:22,Bring food,Cook helper-000001,
4598,2024-12-11 23:42:26,Deliver to customer,Waiter-000004,
4598,2024-12-11 23:51:58,EVENT 8 END,,
4599,2024-11-21 23:45:00,Take order,Waiter-000002,
4599,2024-11-21 23:45:00,start,,
4599,2024-11-21 23:48:08,Review order,Waiter-000005,
4599,2024-11-21 23:48:57,Prepare starter,Cook helper-000001,
4599,2024-11-21 23:48:57,prepare drinks,Barman-000003,
4599,2024-11-21 23:50:06,Bring drinks,Barman-000001,
4599,2024-11-21 23:55:53,Review drinks,Waiter-000001,
4599,2024-12-02 21:37:38,Signal food complete,Cook-000001,
4599,2024-12-02 21:45:35,Bring food,Cook helper-000003,
4599,2024-12-02 21:55:49,Deliver to customer,Waiter-000004,
4599,2024-12-02 21:57:52,EVENT 8 END,,
4600,2024-11-22 00:00:00,Take order,Waiter-000002,
4600,2024-11-22 00:00:00,start,,
4600,2024-11-22 00:04:17,Review order,Waiter-000001,
4600,2024-11-22 00:04:22,Prepare starter,Cook helper-000002,
4600,2024-11-22 00:04:22,prepare drinks,Barman-000001,
4600,2024-11-22 00:04:43,Bring drinks,Barman-000002,
4600,2024-11-22 00:07:49,Review drinks,Waiter-000005,
4600,2024-11-22 00:09:43,prepare drinks,Barman-000001,
4600,2024-11-22 00:13:21,Bring drinks,Barman-000003,
4600,2024-11-22 00:16:17,Review drinks,Waiter-000004,
4600,2024-12-02 22:07:21,Prepare main course,Cook-000003,
4600,2024-12-11 21:16:11,Signal food complete,Cook-000001,
4600,2024-12-11 22:14:12,Bring food,Cook helper-000001,
4600,2024-12-11 22:15:51,Deliver to customer,Waiter-000002,
4600,2024-12-11 22:17:54,EVENT 8 END,,
4601,2024-11-22 00:15:00,Take order,Waiter-000002,
4601,2024-11-22 00:15:00,start,,
4601,2024-11-22 00:15:01,Review order,Waiter-000001,
4601,2024-11-22 00:15:07,Prepare starter,Cook helper-000003,
4601,2024-11-22 00:15:07,prepare drinks,Barman-000002,
4601,2024-11-22 00:21:39,Bring drinks,Barman-000001,
4601,2024-11-22 00:22:02,Review drinks,Waiter-000005,
4601,2024-12-02 22:24:15,Signal food complete,Cook-000001,
4601,2024-12-02 22:50:27,Bring food,Cook helper-000003,
4601,2024-12-02 22:55:14,Deliver to customer,Waiter-000005,
4601,2024-12-02 22:56:20,EVENT 8 END,,
4602,2024-11-22 00:30:00,Take order,Waiter-000002,
4602,2024-11-22 00:30:00,start,,
4602,2024-11-22 00:32:14,Review order,Waiter-000001,
